,policy_tenure,area_cluster,length,steering_type,turning_radius,width,height,torque,is_claim
0,54,0,4300,0,5.2,1790,1635,0,0
1,36,1,3445,0,4.6,1515,1475,1,0
2,79,2,3445,0,4.6,1515,1475,1,0
3,46,0,3655,0,4.7,1620,1675,2,0
4,66,3,4300,0,5.2,1790,1635,0,0
5,92,4,3990,1,4.85,1745,1500,3,0
6,7,5,3845,1,4.8,1735,1530,3,0
7,91,4,4300,0,5.2,1790,1635,0,0
8,92,6,3445,0,4.6,1515,1475,1,0
9,24,7,4300,0,5.2,1790,1635,0,0
10,92,2,4300,0,5.2,1790,1635,0,1
11,95,6,3995,1,4.8,1735,1515,3,0
12,104,4,4300,0,5.2,1790,1635,0,0
13,23,1,3995,1,4.9,1695,1501,4,0
14,10,1,3445,0,4.6,1515,1475,1,1
15,81,8,3445,0,4.6,1515,1475,1,0
16,2,6,3655,0,4.7,1620,1675,2,0
17,7,2,3990,1,5.0,1755,1523,4,0
18,1,4,4300,0,5.2,1790,1635,0,0
19,3,9,3445,0,4.6,1515,1475,1,0
20,26,3,3445,0,4.6,1515,1475,1,0
21,1,10,4300,0,5.2,1790,1635,0,0
22,1,3,3990,1,5.0,1755,1523,4,0
23,85,8,3995,1,4.9,1695,1501,4,0
24,48,3,3655,0,4.7,1620,1675,2,0
25,102,3,3445,0,4.6,1515,1475,1,0
26,2,1,3445,0,4.6,1515,1475,1,0
27,100,11,3845,1,4.8,1735,1530,3,0
28,11,3,3445,0,4.6,1515,1475,1,0
29,9,11,3445,0,4.6,1515,1475,1,0
30,11,2,3445,0,4.6,1515,1475,1,0
31,63,2,3731,1,5.0,1579,1490,5,0
32,102,11,3990,1,4.85,1745,1500,3,0
33,6,2,3845,1,4.8,1735,1530,3,0
34,21,6,3445,0,4.6,1515,1475,1,0
35,93,4,4300,0,5.2,1790,1635,0,0
36,14,4,4300,0,5.2,1790,1635,0,0
37,67,4,4300,0,5.2,1790,1635,0,0
38,96,4,3655,0,4.7,1620,1675,2,0
39,93,6,3995,1,4.8,1735,1515,3,0
40,87,12,3845,1,4.8,1735,1530,3,0
41,93,4,3655,0,4.7,1620,1675,2,0
