policy_id,age
P45001,38.3
P45002,38.1
P45003,36.7
P45004,35.9
P45005,40.6
P45006,36.4
P45007,38.6
P45008,35.7
P45009,36.4
P45010,35.1
P45011,38.8
P45012,38.9
P45013,36.5
P45014,38.9
P45015,38.9
P45016,38.8
P45017,39.8
P45018,34.4
P45019,38.7
P45020,39.7
P45021,39.8
P45022,38.7
P45023,35.1
P45024,35.4
P45025,40.0
P45026,34.2
P45027,35.7
P45028,38.2
P45029,37.6
P45030,35.5
P45031,38.9
P45032,36.9
P45033,34.7
P45034,36.4
P45035,38.9
P45036,37.7
P45037,38.9
P45038,36.2
P45039,34.6
P45040,38.9
P45041,38.9
P45042,39.6
P45043,39.0
P45044,37.2
P45045,39.8
P45046,36.8
P45047,35.3
P45048,39.0
P45049,35.4
P45050,35.9
P45051,38.9
P45052,36.9
P45053,35.4
P45054,39.7
P45055,36.9
P45056,34.3
P45057,37.1
P45058,36.2
P45059,35.5
P45060,38.9
P45061,38.9
P45062,34.3
P45063,34.0
P45064,33.4
P45065,36.4
P45066,35.9
P45067,35.0
P45068,34.1
P45069,39.6
P45070,37.4
P45071,39.6
P45072,38.7
P45073,38.9
P45074,34.5
P45075,38.2
P45076,39.3
P45077,36.6
P45078,35.3
P45079,38.1
P45080,39.8
P45081,39.7
P45082,39.8
P45083,38.0
P45084,34.1
P45085,35.9
P45086,38.6
P45087,35.3
P45088,40.5
P45089,35.7
P45090,36.7
P45091,40.6
P45092,38.9
P45093,39.6
P45094,38.2
P45095,35.5
P45096,38.1
P45097,35.4
P45098,35.7
P45099,37.5
P45100,38.3
P45101,35.6
P45102,38.9
P45103,39.2
P45104,35.4
P45105,36.5
P45106,35.0
P45107,36.4
P45108,35.6
P45109,35.1
P45110,38.4
P45111,39.0
P45112,38.9
P45113,39.1
P45114,39.1
P45115,34.0
P45116,37.6
P45117,35.3
P45118,35.6
P45119,36.3
P45120,38.9
P45121,35.7
P45122,39.8
P45123,34.8
P45124,35.3
P45125,35.7
P45126,34.4
P45127,36.1
P45128,35.4
P45129,36.9
P45130,38.5
P45131,37.7
P45132,33.2
P45133,38.9
P45134,39.6
P45135,38.9
P45136,34.8
P45137,36.2
P45138,35.5
P45139,35.9
P45140,33.4
P45141,38.4
P45142,39.6
P45143,38.8
P45144,40.6
P45145,35.4
P45146,39.3
P45147,34.6
P45148,34.0
P45149,38.2
P45150,38.1
P45151,38.4
P45152,37.5
P45153,39.0
P45154,36.4
P45155,33.9
P45156,36.1
P45157,39.8
P45158,38.2
P45159,35.7
P45160,38.6
P45161,36.9
P45162,33.9
P45163,35.1
P45164,36.9
P45165,35.0
P45166,40.6
P45167,37.7
P45168,34.3
P45169,35.6
P45170,34.1
P45171,34.1
P45172,38.2
P45173,38.5
P45174,35.6
P45175,36.9
P45176,39.8
P45177,36.3
P45178,38.9
P45179,34.7
P45180,36.4
P45181,35.6
P45182,35.2
P45183,38.7
P45184,36.5
P45185,38.9
P45186,34.2
P45187,34.1
P45188,37.9
P45189,39.8
P45190,36.0
P45191,39.3
P45192,38.7
P45193,39.3
P45194,36.3
P45195,34.8
P45196,36.0
P45197,39.6
P45198,34.6
P45199,35.9
P45200,35.6
P45201,38.7
P45202,39.3
P45203,35.1
P45204,38.7
P45205,34.8
P45206,34.4
P45207,36.9
P45208,38.2
P45209,39.6
P45210,39.0
P45211,33.5
P45212,39.6
P45213,38.4
P45214,35.6
P45215,35.4
P45216,35.7
P45217,35.9
P45218,36.5
P45219,39.1
P45220,35.0
P45221,35.3
P45222,34.4
P45223,37.4
P45224,34.8
P45225,37.5
P45226,36.4
P45227,38.5
P45228,36.3
P45229,35.3
P45230,38.7
P45231,33.5
P45232,38.9
P45233,36.9
P45234,39.6
P45235,34.7
P45236,40.6
P45237,34.7
P45238,35.9
P45239,38.5
P45240,36.1
P45241,35.5
P45242,34.4
P45243,35.6
P45244,38.2
P45245,36.0
P45246,35.1
P45247,33.3
P45248,36.1
P45249,35.1
P45250,38.9
P45251,38.7
P45252,34.9
P45253,39.6
P45254,39.2
P45255,36.5
P45256,35.7
P45257,35.5
P45258,33.6
P45259,37.8
P45260,37.5
P45261,38.6
P45262,34.7
P45263,37.1
P45264,37.3
P45265,38.9
P45266,37.1
P45267,39.0
P45268,34.8
P45269,34.3
P45270,38.8
P45271,37.7
P45272,35.6
P45273,37.7
P45274,38.9
P45275,38.2
P45276,37.0
P45277,35.1
P45278,33.4
P45279,36.0
P45280,34.1
P45281,35.9
P45282,36.3
P45283,35.8
P45284,37.5
P45285,35.4
P45286,31.9
P45287,35.3
P45288,34.9
P45289,36.4
P45290,36.5
P45291,37.5
P45292,39.3
P45293,39.6
P45294,35.6
P45295,37.7
P45296,35.9
P45297,37.5
P45298,38.0
P45299,39.2
P45300,35.7
P45301,35.6
P45302,37.9
P45303,32.7
P45304,33.3
P45305,38.0
P45306,36.9
P45307,35.1
P45308,39.2
P45309,36.0
P45310,35.4
P45311,37.0
P45312,35.4
P45313,34.7
P45314,38.7
P45315,35.3
P45316,38.8
P45317,35.9
P45318,36.7
P45319,39.8
P45320,37.6
P45321,37.5
P45322,38.5
P45323,36.9
P45324,34.6
P45325,37.9
P45326,38.9
P45327,34.0
P45328,36.2
P45329,38.8
P45330,35.4
P45331,39.3
P45332,37.2
P45333,35.3
P45334,39.8
P45335,37.4
P45336,35.0
P45337,35.3
P45338,35.7
P45339,38.4
P45340,35.1
P45341,38.9
P45342,38.9
P45343,37.5
P45344,35.3
P45345,38.9
P45346,35.1
P45347,35.4
P45348,35.6
P45349,35.9
P45350,35.3
P45351,39.7
P45352,35.9
P45353,33.4
P45354,37.5
P45355,37.9
P45356,38.7
P45357,39.2
P45358,36.5
P45359,35.2
P45360,34.4
P45361,39.0
P45362,35.7
P45363,39.7
P45364,37.5
P45365,36.6
P45366,39.8
P45367,38.2
P45368,37.2
P45369,39.4
P45370,39.6
P45371,38.6
P45372,39.1
P45373,35.5
P45374,33.8
P45375,38.9
P45376,36.9
P45377,39.4
P45378,39.7
P45379,36.1
P45380,37.4
P45381,38.4
P45382,36.1
P45383,36.9
P45384,34.4
P45385,36.8
P45386,38.3
P45387,33.6
P45388,39.1
P45389,40.5
P45390,35.7
P45391,36.4
P45392,37.6
P45393,33.2
P45394,38.2
P45395,33.6
P45396,39.6
P45397,38.2
P45398,37.2
P45399,35.7
P45400,36.9
P45401,35.9
P45402,35.4
P45403,37.2
P45404,38.9
P45405,36.9
P45406,37.7
P45407,32.8
P45408,34.2
P45409,37.3
P45410,33.8
P45411,34.3
P45412,35.7
P45413,36.9
P45414,39.0
P45415,38.9
P45416,38.1
P45417,35.3
P45418,39.6
P45419,39.8
P45420,36.4
P45421,34.4
P45422,38.9
P45423,37.0
P45424,35.3
P45425,33.9
P45426,37.5
P45427,35.7
P45428,34.1
P45429,36.8
P45430,35.9
P45431,35.4
P45432,40.6
P45433,38.4
P45434,38.2
P45435,36.9
P45436,37.7
P45437,34.3
P45438,35.8
P45439,35.1
P45440,35.6
P45441,38.2
P45442,36.9
P45443,37.6
P45444,37.2
P45445,34.4
P45446,38.9
P45447,35.4
P45448,35.1
P45449,35.7
P45450,38.5
P45451,39.6
P45452,38.1
P45453,38.9
P45454,38.9
P45455,39.8
P45456,38.2
P45457,35.1
P45458,37.4
P45459,38.2
P45460,36.5
P45461,35.6
P45462,38.4
P45463,36.1
P45464,38.6
P45465,32.9
P45466,32.6
P45467,35.0
P45468,37.5
P45469,35.7
P45470,37.6
P45471,34.6
P45472,39.0
P45473,38.5
P45474,39.0
P45475,35.4
P45476,37.7
P45477,37.5
P45478,35.3
P45479,36.2
P45480,34.6
P45481,40.0
P45482,35.9
P45483,37.0
P45484,39.8
P45485,38.9
P45486,38.1
P45487,35.5
P45488,35.9
P45489,33.2
P45490,33.3
P45491,35.6
P45492,35.6
P45493,35.0
P45494,34.6
P45495,37.5
P45496,34.0
P45497,36.9
P45498,34.8
P45499,37.9
P45500,36.2
P45501,38.9
P45502,40.6
P45503,37.4
P45504,38.9
P45505,37.1
P45506,38.9
P45507,39.7
P45508,36.1
P45509,36.1
P45510,33.9
P45511,38.7
P45512,33.5
P45513,35.0
P45514,35.9
P45515,39.8
P45516,39.5
P45517,38.6
P45518,36.6
P45519,37.6
P45520,39.8
P45521,34.1
P45522,37.6
P45523,34.5
P45524,35.6
P45525,39.3
P45526,37.5
P45527,34.1
P45528,39.6
P45529,34.3
P45530,37.1
P45531,35.7
P45532,34.3
P45533,39.8
P45534,37.2
P45535,38.6
P45536,34.3
P45537,38.6
P45538,38.9
P45539,36.5
P45540,37.2
P45541,37.8
P45542,36.2
P45543,38.0
P45544,39.4
P45545,35.0
P45546,37.6
P45547,36.0
P45548,35.7
P45549,39.6
P45550,35.7
P45551,37.0
P45552,35.7
P45553,35.1
P45554,32.8
P45555,36.2
P45556,37.2
P45557,35.9
P45558,34.1
P45559,38.9
P45560,34.7
P45561,36.4
P45562,39.4
P45563,38.6
P45564,35.3
P45565,35.4
P45566,33.8
P45567,37.1
P45568,34.6
P45569,35.4
P45570,37.5
P45571,35.9
P45572,36.1
P45573,38.3
P45574,37.6
P45575,34.4
P45576,35.1
P45577,36.0
P45578,38.2
P45579,35.9
P45580,35.1
P45581,34.9
P45582,35.9
P45583,39.4
P45584,36.7
P45585,36.4
P45586,32.6
P45587,35.7
P45588,38.2
P45589,35.5
P45590,33.2
P45591,34.1
P45592,37.0
P45593,36.4
P45594,35.3
P45595,36.7
P45596,35.6
P45597,37.8
P45598,38.0
P45599,35.4
P45600,35.7
P45601,35.4
P45602,36.5
P45603,40.6
P45604,39.7
P45605,38.8
P45606,38.5
P45607,36.9
P45608,39.0
P45609,38.0
P45610,35.9
P45611,36.1
P45612,36.9
P45613,35.4
P45614,38.4
P45615,37.8
P45616,35.4
P45617,38.3
P45618,35.3
P45619,34.8
P45620,38.2
P45621,35.5
P45622,33.6
P45623,37.7
P45624,36.3
P45625,38.0
P45626,39.0
P45627,38.9
P45628,34.1
P45629,35.6
P45630,34.4
P45631,38.2
P45632,33.3
P45633,39.4
P45634,35.8
P45635,35.6
P45636,34.1
P45637,37.8
P45638,39.1
P45639,34.8
P45640,35.4
P45641,38.9
P45642,35.9
P45643,34.1
P45644,34.5
P45645,40.6
P45646,39.0
P45647,40.6
P45648,36.9
P45649,35.7
P45650,35.3
P45651,35.9
P45652,35.6
P45653,35.9
P45654,35.6
P45655,35.7
P45656,36.3
P45657,36.2
P45658,34.7
P45659,40.6
P45660,34.4
P45661,39.6
P45662,34.8
P45663,38.9
P45664,36.9
P45665,37.1
P45666,36.2
P45667,36.3
P45668,35.4
P45669,36.9
P45670,39.6
P45671,35.6
P45672,36.3
P45673,38.7
P45674,38.0
P45675,35.5
P45676,38.9
P45677,40.6
P45678,36.9
P45679,38.7
P45680,40.5
P45681,37.7
P45682,39.7
P45683,36.4
P45684,39.0
P45685,38.3
P45686,39.2
P45687,39.8
P45688,38.0
P45689,39.6
P45690,32.8
P45691,35.7
P45692,35.1
P45693,38.4
P45694,35.9
P45695,33.3
P45696,35.7
P45697,36.3
P45698,37.1
P45699,35.2
P45700,36.9
P45701,37.3
P45702,34.6
P45703,33.5
P45704,35.9
P45705,35.9
P45706,34.4
P45707,37.3
P45708,38.5
P45709,34.4
P45710,35.9
P45711,35.0
P45712,35.2
P45713,34.3
P45714,33.7
P45715,35.4
P45716,35.0
P45717,39.8
P45718,32.9
P45719,34.4
P45720,37.0
P45721,34.6
P45722,34.7
P45723,39.6
P45724,35.5
P45725,38.8
P45726,35.3
P45727,37.8
P45728,37.6
P45729,37.5
P45730,35.7
P45731,35.0
P45732,33.5
P45733,37.7
P45734,36.2
P45735,35.7
P45736,35.1
P45737,34.5
P45738,35.8
P45739,36.0
P45740,36.3
P45741,36.8
P45742,37.4
P45743,36.5
P45744,39.0
P45745,35.7
P45746,37.5
P45747,38.8
P45748,36.9
P45749,33.8
P45750,39.0
P45751,38.4
P45752,38.6
P45753,39.6
P45754,36.9
P45755,37.3
P45756,38.9
P45757,36.0
P45758,40.6
P45759,38.9
P45760,35.2
P45761,39.3
P45762,38.2
P45763,35.9
P45764,37.9
P45765,39.7
P45766,36.4
P45767,39.8
P45768,36.9
P45769,39.6
P45770,36.3
P45771,36.9
P45772,35.0
P45773,37.9
P45774,34.8
P45775,36.9
P45776,39.2
P45777,35.3
P45778,36.2
P45779,35.5
P45780,35.1
P45781,37.2
P45782,38.4
P45783,35.2
P45784,34.9
P45785,36.4
