symbol,date,open,high,low,close,usd_volume,crypto_volume,usd_volume_mil
BONK,2023-01-03,9.4981e-07,1.31071485953565e-06,8.30422379006214e-07,1.25471999230987e-06,1808633.1700184,1587020389862.63,1.8086331700184
BONK,2023-01-04,1.25471999230987e-06,3.46460308883683e-06,1.13023053579125e-06,3.41625699606583e-06,61670472.3649451,27826904431042.6,61.6704723649451
BONK,2023-01-05,3.41625699606583e-06,4.95545885639602e-06,2.14892810162534e-06,2.86252922203943e-06,85177859.3209154,26039417647879.6,85.1778593209154
BONK,2023-01-06,2.86252922203943e-06,2.86252922203943e-06,1.43176720699987e-06,2.00528297337475e-06,44332363.7318419,22829258809662.1,44.3323637318419
BONK,2023-01-07,2.00528297337475e-06,2.27868861508996e-06,1.65783937387857e-06,2.02771411176116e-06,28534914.887024,14197300847474.8,28.534914887024
BONK,2023-01-08,2.02771411176116e-06,2.08602890627652e-06,1.50250649375203e-06,1.63120771560562e-06,21258192.610299,11548412324724.7,21.258192610298998
BONK,2023-01-09,1.63120771560562e-06,1.78167311410683e-06,1.54287659794523e-06,1.59864580068773e-06,17778858.9803701,10885864595135.2,17.7788589803701
BONK,2023-01-10,1.59864580068773e-06,1.67825800724135e-06,1.50271192408754e-06,1.51361437537258e-06,14160280.0313578,9123166814315.95,14.1602800313578
BONK,2023-01-11,1.51361437537258e-06,1.60181607517178e-06,7.59021235167428e-07,9.00487400315826e-07,13684061.4324656,10675184431143.0,13.6840614324656
BONK,2023-01-12,9.00487400315826e-07,1.14960980835164e-06,8.58775900490916e-07,1.01404609373306e-06,21312401.1191766,20916324485987.9,21.3124011191766
BONK,2023-01-13,1.01404609373306e-06,1.0497434930391e-06,8.79876453010483e-07,9.09926069368931e-07,9900426.85636056,10556900880700.9,9.90042685636056
BONK,2023-01-14,9.09926069368931e-07,1.34578367059857e-06,8.94122214490403e-07,1.20485087426718e-06,19834499.6006974,17463832995483.1,19.8344996006974
BONK,2023-01-15,1.20485087426718e-06,1.54556820079337e-06,1.07191274632631e-06,1.40308122545892e-06,15035525.0884744,11800167339913.4,15.035525088474401
BONK,2023-01-16,1.40308122545892e-06,1.50165127341088e-06,1.24461180856571e-06,1.32028975264859e-06,12284782.9193041,8963396022268.48,12.284782919304101
BONK,2023-01-17,1.32028975264859e-06,1.39348088741547e-06,1.25053159671939e-06,1.33143504843701e-06,7944929.52346524,5973238386478.4,7.94492952346524
BONK,2023-01-18,1.33143504843701e-06,1.33896532248056e-06,1.11371472739572e-06,1.11600777439832e-06,9770616.98901621,7922323449929.7,9.77061698901621
BONK,2023-01-19,1.11600777439832e-06,1.21613058061364e-06,1.05481562640547e-06,1.18168782382537e-06,6916819.25550612,6058503861161.2,6.91681925550612
BONK,2023-01-20,1.18168782382537e-06,1.31696269768152e-06,1.13997691402539e-06,1.2923255766478e-06,6974420.93473192,5840566920869.4,6.974420934731921
BONK,2023-01-21,1.2923255766478e-06,1.39163185955948e-06,1.1567762119726e-06,1.16736551350378e-06,8206224.14049901,6288226394261.01,8.20622414049901
BONK,2023-01-22,1.16736551350378e-06,1.2422353998729e-06,1.13570855724246e-06,1.15904617017684e-06,6580105.55776239,5482813949308.0,6.58010555776239
BONK,2023-01-23,1.15904617017684e-06,1.21436189317316e-06,1.13175129521395e-06,1.15704225132504e-06,5439510.58033478,4658043749496.75,5.43951058033478
BONK,2023-01-24,1.15704225132504e-06,1.15704225132504e-06,9.38316597225435e-07,9.88691626395018e-07,6745687.93326312,6368714641401.07,6.74568793326312
BONK,2023-01-25,9.88691626395018e-07,1.0981733062866e-06,9.62110165111366e-07,1.06257008453556e-06,6394802.78229839,6343982242605.84,6.39480278229839
BONK,2023-01-26,1.06257008453556e-06,1.09898934802114e-06,1.00288161797663e-06,1.03636538399518e-06,4980585.32150163,4799877428196.18,4.98058532150163
BONK,2023-01-27,1.03636538399518e-06,1.08636522381218e-06,9.95395991185868e-07,1.06000036601007e-06,5142290.72006348,4985978821098.83,5.14229072006348
BONK,2023-01-28,1.06000036601007e-06,1.0997734773691e-06,1.00306052779979e-06,1.00807485789415e-06,6641195.01984974,6312164597048.55,6.64119501984974
BONK,2023-01-29,1.00807485789415e-06,1.05372548942093e-06,9.84142461879283e-07,1.04515392319662e-06,5807604.75886564,5683876341005.54,5.807604758865639
BONK,2023-01-30,1.04515392319662e-06,1.04515392319662e-06,7.19528873658131e-07,8.73335614117984e-07,8085072.48581893,8895376628846.88,8.08507248581893
BONK,2023-01-31,8.73335614117984e-07,9.15285211521397e-07,8.40267421352494e-07,8.82677155776976e-07,6204798.77600988,7063857668110.24,6.20479877600988
BONK,2023-02-01,8.82677155776976e-07,9.07289349447188e-07,7.34233962774942e-07,8.73311541399794e-07,8430502.53127502,10171337835003.4,8.430502531275021
BONK,2023-02-02,8.73311541399794e-07,9.14419441481096e-07,8.34406432652281e-07,8.42662670157782e-07,7323205.97081416,8332367400729.53,7.32320597081416
BONK,2023-02-03,8.42662670157782e-07,1.14589650327961e-06,8.21142504725817e-07,1.04596347728987e-06,9648357.44097318,10438717652847.1,9.648357440973179
BONK,2023-02-04,1.04596347728987e-06,1.29696410001184e-06,9.9472353434003e-07,1.1489208665414e-06,13359568.0687473,11880852703033.7,13.3595680687473
BONK,2023-02-05,1.1489208665414e-06,1.24996928212186e-06,9.99979745121687e-07,1.08079880310654e-06,11072524.345197,9841028915678.34,11.072524345197
BONK,2023-02-06,1.08079880310654e-06,1.11145582042345e-06,9.98735191100763e-07,1.0518769248218e-06,7763526.63686942,7298038120910.84,7.76352663686942
BONK,2023-02-07,1.0518769248218e-06,1.07140170701949e-06,1.02725045868985e-06,1.07045692694779e-06,5373948.07663499,5103691840517.77,5.37394807663499
BONK,2023-02-08,1.07045692694779e-06,1.09189384683734e-06,9.65761581473514e-07,9.9309943243303e-07,5208783.38453029,5017294229070.9,5.20878338453029
BONK,2023-02-09,9.9309943243303e-07,9.93124330648026e-07,7.93429718668855e-07,8.35382761583849e-07,7704116.06270641,8584796809070.34,7.70411606270641
BONK,2023-02-10,8.35382761583849e-07,8.90625395151809e-07,8.26427446254432e-07,8.78198633445234e-07,5730651.47048226,6682016598938.44,5.73065147048226
BONK,2023-02-11,8.78198633445234e-07,9.18672770669263e-07,8.59192369711083e-07,8.89857980737234e-07,4104058.33256929,4599787017090.89,4.10405833256929
BONK,2023-02-12,8.89857980737234e-07,9.03475751079916e-07,8.48546552620667e-07,8.67015726126542e-07,4364982.16130079,4938579891576.73,4.36498216130079
BONK,2023-02-13,8.67015726126542e-07,8.72812111976394e-07,7.76790638843734e-07,8.18938780039248e-07,4544701.65056491,5504979207939.26,4.54470165056491
BONK,2023-02-14,8.18938780039248e-07,8.51794167338176e-07,8.05228606137077e-07,8.1568328424696e-07,4489461.31880028,5439871597160.63,4.48946131880028
BONK,2023-02-15,8.1568328424696e-07,9.89578439872418e-07,8.03301163807991e-07,9.54657655650176e-07,7918890.79640437,8867987582152.64,7.91889079640437
BONK,2023-02-16,9.54657655650176e-07,1.04692784625811e-06,8.31278199196518e-07,8.48591632119439e-07,10779041.6458107,11300764264334.7,10.779041645810699
BONK,2023-02-17,8.48591632119439e-07,9.21910727065849e-07,8.43029500865052e-07,8.79833600778006e-07,5616344.3414288,6380048731421.54,5.6163443414288
BONK,2023-02-18,8.79833600778006e-07,9.1724349077708e-07,8.66797531252443e-07,8.79998907663592e-07,4972058.48038853,5606421160169.31,4.9720584803885295
BONK,2023-02-19,8.79998907663592e-07,9.21446211451441e-07,8.4517402839877e-07,8.61788629125356e-07,4730057.2954814,5373488768286.03,4.7300572954814
BONK,2023-02-20,8.61788629125356e-07,9.07453799913726e-07,8.40590655886424e-07,8.72452712635241e-07,5239720.30408126,5985428610415.45,5.23972030408126
BONK,2023-02-21,8.72452712635241e-07,8.85851969682413e-07,8.14051290292986e-07,8.19770647064392e-07,4499821.08427794,5299396445310.39,4.49982108427794
BONK,2023-02-22,8.19770647064392e-07,8.3210717270784e-07,7.94759088607767e-07,8.10696614106018e-07,4040053.38583253,4984487457330.44,4.04005338583253
BONK,2023-02-23,8.10696614106018e-07,8.37063377397328e-07,7.90786277642724e-07,8.06924101799592e-07,3739786.1347718,4583783947574.8,3.7397861347718
BONK,2023-02-24,8.06924101799592e-07,8.10918624028039e-07,7.58493053680561e-07,7.67042142759762e-07,3493078.16767673,4427381327008.09,3.49307816767673
BONK,2023-02-25,7.67042142759762e-07,7.76209749030418e-07,7.42081644580165e-07,7.63731571937123e-07,2940983.86701924,3854424505808.96,2.9409838670192396
BONK,2023-02-26,7.63731571937123e-07,7.82527137760815e-07,7.56917889158809e-07,7.79638659064432e-07,2738746.82370278,3569317162260.62,2.73874682370278
BONK,2023-02-27,7.79638659064432e-07,7.80794454689023e-07,7.30937986005633e-07,7.35484328878434e-07,3299870.33505977,4371612075960.97,3.29987033505977
BONK,2023-02-28,7.35484328878434e-07,7.41534810117337e-07,7.02095062363003e-07,7.07303570719343e-07,3780463.98678388,5234167438064.76,3.7804639867838796
BONK,2023-03-01,7.07303570719343e-07,7.33665999272379e-07,6.86777351152529e-07,7.05311676323807e-07,3507413.16168228,4929170901905.77,3.5074131616822797
BONK,2023-03-02,7.05311676323807e-07,7.09115199803272e-07,6.62592302980556e-07,6.7509387245554e-07,3281874.84457422,4812295091379.71,3.28187484457422
BONK,2023-03-03,6.7509387245554e-07,6.75314007494126e-07,5.35568935947551e-07,5.92094230398306e-07,6534782.76487867,11333261483137.9,6.53478276487867
BONK,2023-03-04,5.92094230398306e-07,6.51298666056782e-07,5.48836496851415e-07,5.61539790532248e-07,4496743.87721801,7442599163629.98,4.49674387721801
BONK,2023-03-05,5.61539790532248e-07,6.1500663666792e-07,5.53164561544101e-07,5.82312378337722e-07,3998834.37642711,6828724867643.11,3.99883437642711
BONK,2023-03-06,5.82312378337722e-07,5.94791480836246e-07,5.75197112902249e-07,5.84938961213483e-07,2536763.42818577,4338201842669.69,2.5367634281857696
BONK,2023-03-07,5.84938961213483e-07,6.04070110049796e-07,5.54404125470241e-07,5.64544135619887e-07,3306814.35381907,5735540978881.15,3.3068143538190697
BONK,2023-03-08,5.64544135619887e-07,5.72556346283091e-07,4.65353288402629e-07,4.78980917826098e-07,3644588.38879252,6968880893306.33,3.64458838879252
BONK,2023-03-09,4.78980917826098e-07,4.94947107292081e-07,4.11596147148236e-07,4.36334660791585e-07,3330487.56952479,7214867329794.94,3.33048756952479
BONK,2023-03-10,4.36334660791585e-07,4.36723745609799e-07,3.77047676654635e-07,4.11522048551536e-07,3642174.56138477,8870853827702.88,3.64217456138477
BONK,2023-03-11,4.11522048551536e-07,5.04697472754331e-07,3.88001732587969e-07,4.70368306420575e-07,3295795.69770642,7644420970844.08,3.29579569770642
BONK,2023-03-12,4.70368306420575e-07,4.88860255954199e-07,4.31132759860877e-07,4.84082570490316e-07,2603957.06807744,5728006713094.52,2.60395706807744
BONK,2023-03-13,4.84082570490316e-07,5.59416044971203e-07,4.50375367091742e-07,5.58291786997449e-07,2789797.18016788,5625239112765.03,2.78979718016788
BONK,2023-03-14,5.58291786997449e-07,6.24024892091293e-07,5.45777896257299e-07,6.21829947235347e-07,3159501.63050945,5415563189430.81,3.15950163050945
BONK,2023-03-15,6.21829947235347e-07,6.9361130709412e-07,5.65350043843364e-07,6.19820120279372e-07,3836292.41536455,5984925479410.53,3.83629241536455
BONK,2023-03-16,6.19820120279372e-07,6.48103981161679e-07,5.68743406101076e-07,6.48103981161679e-07,2199041.5247143,3678957680999.34,2.1990415247143
BONK,2023-03-17,6.48103981161679e-07,6.67287385363021e-07,6.08448087331187e-07,6.57718252614965e-07,2504314.7620166,3903972827400.92,2.5043147620166
BONK,2023-03-18,6.57718252614965e-07,6.73477063608048e-07,6.13795317099385e-07,6.2678450143269e-07,2491714.57200643,3878336415343.07,2.49171457200643
BONK,2023-03-19,6.2678450143269e-07,7.34698361079988e-07,6.18292340472873e-07,7.29464566854243e-07,2903501.95003687,4378252756502.29,2.90350195003687
BONK,2023-03-20,7.29464566854243e-07,7.30106905672907e-07,6.48732093567805e-07,6.6605273015385e-07,3097543.2579315,4518576336810.79,3.0975432579315
BONK,2023-03-21,6.6605273015385e-07,7.10191163634997e-07,6.55874593839175e-07,6.92610139501608e-07,2214246.09242683,3246941957126.11,2.21424609242683
BONK,2023-03-22,6.92610139501608e-07,6.92838642201768e-07,5.81284961270895e-07,5.99769690732359e-07,2533353.27658294,3974111137510.49,2.53335327658294
BONK,2023-03-23,5.99769690732359e-07,6.2447166579295e-07,5.69079650561109e-07,5.98731557938061e-07,2385554.53901361,3992879479540.13,2.38555453901361
BONK,2023-03-24,5.98731557938061e-07,6.1831883867433e-07,5.64872212563359e-07,5.6924909091366e-07,1963297.55474448,3350116246413.66,1.96329755474448
BONK,2023-03-25,5.6924909091366e-07,5.76139787621967e-07,5.35433254997336e-07,5.49530020705158e-07,1722122.43337586,3077059915895.28,1.72212243337586
BONK,2023-03-26,5.49530020705158e-07,5.6462624665557e-07,5.44614249228635e-07,5.48569534487078e-07,1575395.47308331,2841874810098.06,1.57539547308331
BONK,2023-03-27,5.48569534487078e-07,5.52954713637812e-07,5.01352875636654e-07,5.05553698813813e-07,1665543.20937951,3157702334863.63,1.66554320937951
BONK,2023-03-28,5.05553698813813e-07,5.15107693193822e-07,4.82671725436045e-07,4.99258521384198e-07,1766802.28346125,3556967491157.61,1.7668022834612498
BONK,2023-03-29,4.99258521384198e-07,6.08430728013093e-07,4.99258521384198e-07,5.6411372476286e-07,2415977.85442569,4413446749393.74,2.41597785442569
BONK,2023-03-30,5.6411372476286e-07,5.9084730854511e-07,5.51248056586669e-07,5.74831571539549e-07,2189672.27257986,3847361751711.5,2.18967227257986
BONK,2023-03-31,5.74831571539549e-07,6.64690723910248e-07,5.65986012979308e-07,6.41886601958806e-07,2309473.85532826,3883499202879.38,2.30947385532826
BONK,2023-04-01,6.41886601958806e-07,6.79997378180322e-07,6.34266019805429e-07,6.68619492597153e-07,2324933.80668436,3557611994909.75,2.32493380668436
BONK,2023-04-02,6.68619492597153e-07,6.71978955940958e-07,6.18321118311546e-07,6.26534750303922e-07,1872646.32640529,2901567024075.17,1.87264632640529
BONK,2023-04-03,6.26534750303922e-07,6.5265158317713e-07,5.93931053111601e-07,6.27553254284775e-07,2376686.57407881,3900175244739.63,2.37668657407881
BONK,2023-04-04,6.27553254284775e-07,6.34486199253768e-07,6.08443358951018e-07,6.26165434764926e-07,1281795.76752983,2065467961560.59,1.2817957675298302
BONK,2023-04-05,6.26165434764926e-07,6.31730936131586e-07,5.94513504112691e-07,6.00601865823912e-07,1123696.80913892,1832044616802.6,1.12369680913892
BONK,2023-04-06,6.00601865823912e-07,6.02695369215748e-07,5.72832875569957e-07,5.88850294890818e-07,1027103.20333939,1737372281214.93,1.02710320333939
