symbol,date,open,high,low,close,usd_volume,crypto_volume,usd_volume_mil
SOL,2020-04-10,0.861597049103974,1.32179855178365,0.685565209543203,0.944616568847662,31929072.5198507,35397611.72,31.929072519850703
SOL,2020-04-11,0.944616568847662,1.05644461110928,0.76587385849745,0.788009428346431,6351739.36924032,6940798.43,6.35173936924032
SOL,2020-04-12,0.788009428346431,0.959328700703902,0.75888125609521,0.880938006177545,4127015.24860769,4854736.03,4.12701524860769
SOL,2020-04-13,0.880938006177545,0.880938006177545,0.773223218088112,0.776814255201835,2320513.60378652,2859063.4,2.3205136037865204
SOL,2020-04-14,0.776814255201835,0.798246831674317,0.6275533,0.66376981,1867977.44110073,2603820.53,1.8679774411007302
SOL,2020-04-15,0.66376981,0.70517436,0.61867377,0.63423789,1183363.72881145,1796074.2,1.18336372881145
SOL,2020-04-16,0.63423789,0.77511313,0.61877354,0.68601852,2130244.08477738,2935323.3,2.13024408477738
SOL,2020-04-17,0.68601852,0.7143532,0.65489028,0.65489028,563741.039333584,829169.59,0.563741039333584
SOL,2020-04-18,0.65489028,0.7193417,0.65489028,0.67534313,572467.782197105,831947.9,0.572467782197105
SOL,2020-04-19,0.67534313,0.67534313,0.59203518,0.60221172,756997.899343002,1198712.39,0.756997899343002
SOL,2020-04-20,0.60221172,0.63623329,0.51740722,0.53107571,653323.458267578,1126890.14,0.6533234582675781
SOL,2020-04-21,0.53107571,0.59432989,0.50513551,0.57407658,480287.624161761,882382.41,0.480287624161761
SOL,2020-04-22,0.57407658,0.70607229,0.56958693,0.68980978,1138414.83992158,1779465.52,1.1384148399215799
SOL,2020-04-23,0.68980978,0.69559644,0.59642506,0.63164387,877465.276557888,1397202.57,0.877465276557888
SOL,2020-04-24,0.63164387,0.66456797,0.6095947,0.62436066,522617.423180166,825682.78,0.522617423180166
SOL,2020-04-25,0.62436066,0.66676291,0.61697768,0.64361627,390114.841090513,609093.74,0.390114841090513
SOL,2020-04-26,0.64361627,0.68422266,0.628551,0.63763007,409331.284585152,627270.39,0.409331284585152
SOL,2020-04-27,0.63763007,0.6534935,0.55861223,0.56819015,416482.770240568,700352.22,0.41648277024056796
SOL,2020-04-28,0.56819015,0.69649437,0.56449866,0.65678591,903575.248495252,1399046.97,0.903575248495252
SOL,2020-04-29,0.65678591,0.778206,0.65109902,0.7442842,1004317.11247212,1399437.19,1.00431711247212
SOL,2020-04-30,0.7442842,0.804,0.679932,0.69,578443.887224055,781804.34,0.578443887224055
SOL,2020-05-01,0.69,0.735,0.6834,0.7233,325072.165699253,458593.6,0.32507216569925296
SOL,2020-05-02,0.7233,0.7473,0.7021,0.7113,216674.043759,300615.99,0.21667404375899998
SOL,2020-05-03,0.7113,0.7263,0.6552,0.68,301693.858858,440059.84,0.30169385885800004
SOL,2020-05-04,0.68,0.7035,0.6179,0.67,372727.542033,568969.01,0.37272754203299996
SOL,2020-05-05,0.67,0.6843,0.626,0.6482,179362.029043653,274741.87,0.179362029043653
SOL,2020-05-06,0.6482,0.6674,0.61503849,0.617,178444.43214278,274131.35,0.17844443214278
SOL,2020-05-07,0.617,0.6314,0.5737,0.6144,255221.72877297,423752.76,0.25522172877297
SOL,2020-05-08,0.6144,0.6324,0.5898,0.606,191259.666572494,314328.36,0.191259666572494
SOL,2020-05-09,0.606,0.6236,0.5905,0.6032,127477.591631,209053.68,0.127477591631
SOL,2020-05-10,0.6032,0.6032,0.51,0.5417,272180.020747749,490168.81,0.272180020747749
SOL,2020-05-11,0.5417,0.5679,0.5065,0.5162,187013.05674636,347260.98,0.18701305674636
SOL,2020-05-12,0.5162,0.5577,0.5052,0.5356,193681.135139271,362040.72,0.19368113513927102
SOL,2020-05-13,0.5356,0.5673,0.52,0.5533,197168.532816309,363709.06,0.197168532816309
SOL,2020-05-14,0.5533,0.5823,0.5516,0.5728,142441.028220017,251042.71,0.142441028220017
SOL,2020-05-15,0.5728,0.5748,0.547,0.556,125592.609128654,224713.71,0.125592609128654
SOL,2020-05-16,0.556,0.6043,0.5545,0.5979,123955.143279447,210892.06,0.123955143279447
SOL,2020-05-17,0.5979,0.6397,0.5926,0.6114,310883.631258,499646.11,0.310883631258
SOL,2020-05-18,0.6114,0.6742,0.6114,0.6511,278804.406762,430436.45,0.278804406762
SOL,2020-05-19,0.6511,0.6511,0.6103,0.6273,202556.790247,323605.22,0.202556790247
SOL,2020-05-20,0.6273,0.6273,0.5766,0.5819,166147.941857,278721.7,0.166147941857
SOL,2020-05-21,0.5819,0.6109,0.545,0.6058,235827.159667,408559.2,0.235827159667
SOL,2020-05-22,0.6058,0.6775,0.58,0.6362,309280.729767,497872.5,0.309280729767
SOL,2020-05-23,0.6362,0.6373,0.5891,0.6064,184286.413623,299820.93,0.184286413623
SOL,2020-05-24,0.6064,0.6064,0.5484,0.5484,243792.485757,420050.42,0.243792485757
SOL,2020-05-25,0.5484,0.65,0.5409,0.5957,388320.89135526,666208.74,0.38832089135526
SOL,2020-05-26,0.5957,0.612,0.5673,0.5744739,163981.645443269,280233.76,0.163981645443269
SOL,2020-05-27,0.5744739,0.6095,0.5744739,0.59,269059.68464082,458637.56,0.26905968464082003
SOL,2020-05-28,0.59,0.59,0.565,0.5746,285056.829193314,494657.76,0.285056829193314
SOL,2020-05-29,0.5746,0.5931,0.5656,0.5795,117791.233298229,203646.11,0.11779123329822899
SOL,2020-05-30,0.5795,0.6004999,0.5682,0.5873,379196.503863126,645292.69,0.379196503863126
SOL,2020-05-31,0.5873,0.5932,0.5687,0.5725,151027.940048,260253.87,0.151027940048
SOL,2020-06-01,0.5725,0.5931,0.5688,0.57544245,150348.870944414,259276.53,0.150348870944414
SOL,2020-06-02,0.57544245,0.5865,0.5511,0.5668663,207563.320441607,365203.3,0.207563320441607
SOL,2020-06-03,0.5668663,0.591591,0.5668663,0.5874869,196979.902566447,340146.2,0.196979902566447
SOL,2020-06-04,0.5874869,0.59,0.5626,0.5856,145897.836984364,251743.3,0.14589783698436398
SOL,2020-06-05,0.5856,0.6991,0.5767,0.6593,533730.709088059,827534.0,0.533730709088059
SOL,2020-06-06,0.6593,0.6593,0.61,0.625,211893.90568,337450.17,0.21189390568
SOL,2020-06-07,0.625,0.625,0.5916,0.6124,119168.568158694,196128.55,0.119168568158694
