symbol,date,open,high,low,close,usd_volume,crypto_volume,usd_volume_mil
TAO,2022-08-16,0.3912,0.3943,0.3845,0.3864,25743.41084,66345.1,0.02574341084
TAO,2022-08-17,0.3864,0.3871,0.3301,0.3515,47444.790446011,134042.8,0.047444790446011
TAO,2022-08-18,0.3515,0.3521,0.2545,0.3022,50528.447609289,167104.7,0.050528447609289005
TAO,2022-08-19,0.3022,0.3304,0.28017198,0.2929,40401.299057761,135396.4,0.040401299057761006
TAO,2022-08-20,0.2929,0.32,0.29267073,0.30666933,27063.44452767,88626.0,0.02706344452767
TAO,2022-08-21,0.30666933,0.3414,0.30066993,0.32846715,40631.117656695,127013.0,0.040631117656695
TAO,2022-08-22,0.32846715,0.3805,0.2939706,0.29477052,47772.364086649,141819.2,0.047772364086649005
TAO,2022-08-23,0.29477052,0.3516,0.28057194,0.3078,51255.979432468,164819.3,0.051255979432468
TAO,2022-08-24,0.3078,0.3082,0.2963,0.3044,46274.594353638,153317.2,0.046274594353638
TAO,2022-08-25,0.3044,0.3408,0.3014,0.3303,45849.451458488,147749.4,0.045849451458488004
TAO,2022-08-26,0.3303,0.3475,0.2924,0.3078,31101.987542354,97873.2,0.031101987542354
TAO,2022-08-27,0.3078,0.3085,0.2924,0.2932,46181.767691772,152404.3,0.046181767691772
TAO,2022-08-28,0.2932,0.3052,0.2883,0.2907,71847.369520801,241190.4,0.07184736952080101
TAO,2022-08-29,0.2907,0.3054,0.2495,0.2593,115754.521871574,409909.5,0.115754521871574
TAO,2022-08-30,0.2593,0.2636,0.2255,0.2609,148237.947299038,570892.0,0.148237947299038
TAO,2022-08-31,0.2609,0.2624,0.2471,0.2549,330683.39998865,1286990.8,0.33068339998865
TAO,2022-09-01,0.2549,0.2594,0.2469,0.2554,39707.562445368,155708.1,0.039707562445368
TAO,2022-09-02,0.2554,0.2567,0.2553,0.2564,29281.173448118,114457.3,0.029281173448117998
TAO,2022-09-03,0.2564,0.2703,0.2559,0.2691,43618.475128736,165622.9,0.043618475128736
TAO,2022-09-04,0.2691,0.2751,0.2507,0.2608,42948.519721762,159761.4,0.042948519721762
TAO,2022-09-05,0.2608,0.2677,0.25967403,0.26057394,38571.328203203,147159.1,0.038571328203203
TAO,2022-09-06,0.26057394,0.2765,0.2602,0.2757,43160.633977269,161438.9,0.043160633977269
TAO,2022-09-07,0.2757,0.2834,0.2675,0.27167283,45072.900573018,165264.9,0.045072900573018
TAO,2022-09-08,0.27167283,0.2763,0.27119148,0.2739178,42093.342979362,154095.2,0.042093342979362
TAO,2022-09-09,0.2739178,0.2744,0.2713,0.2735,41095.371780781,150838.9,0.041095371780781
TAO,2022-09-10,0.2735,0.2801,0.273,0.2764,41620.99372,150725.6,0.04162099372
TAO,2022-09-11,0.2764,0.2888,0.2755,0.2839,40825.70731,144694.5,0.04082570731
TAO,2022-09-12,0.2839,0.2929,0.2818,0.2831,43629.79461,152893.2,0.043629794609999994
TAO,2022-09-13,0.2831,0.2847,0.2702,0.28,41072.579854132,145643.9,0.041072579854132
TAO,2022-09-14,0.28,0.2802,0.276,0.2763,40960.28121,147442.3,0.04096028121
TAO,2022-09-15,0.2763,0.2792,0.2757,0.277,40586.462102251,146218.5,0.040586462102250996
TAO,2022-09-16,0.277,0.2804,0.27567243,0.28,43818.635870279,157844.3,0.043818635870279
TAO,2022-09-17,0.28,0.2804,0.2773,0.2783,43660.062154842,156308.4,0.043660062154842
TAO,2022-09-18,0.2783,0.2791,0.2769,0.2777,43540.148611315,156603.1,0.043540148611315
TAO,2022-09-19,0.2777,0.2779,0.2658,0.2688,44970.995431118,164788.6,0.044970995431117995
TAO,2022-09-20,0.2688,0.2761,0.2674,0.2757,44808.423720889,165091.6,0.044808423720888994
TAO,2022-09-21,0.2757,0.2761,0.2717,0.274,45594.196156632,166311.5,0.045594196156632
TAO,2022-09-22,0.274,0.2746,0.2726,0.2735,42363.648748953,154741.2,0.042363648748953
TAO,2022-09-23,0.2735,0.274,0.2728,0.2738,44932.70585287,164240.5,0.04493270585287
TAO,2022-09-24,0.2738,0.274,0.27277272,0.27327267,45138.205230226,165236.1,0.045138205230226
TAO,2022-09-25,0.27327267,0.29287071,0.27277272,0.27454508,46650.415306237,169183.0,0.046650415306237
TAO,2022-09-26,0.27454508,0.2753496,0.26737326,0.2692,44440.870070373,164217.4,0.044440870070373
TAO,2022-09-27,0.2692,0.3398,0.2674,0.2689731,45202.29692037,163679.7,0.04520229692037
TAO,2022-09-28,0.2689731,0.27017298,0.2674,0.26967303,45536.314207403,169529.4,0.045536314207403
TAO,2022-09-29,0.26967303,0.27047295,0.26737326,0.2679,45245.430262526,168698.3,0.045245430262526004
TAO,2022-09-30,0.2679,0.268,0.2505,0.2554,50313.73586,190156.0,0.05031373586
TAO,2022-10-01,0.2554,0.2678,0.255,0.26327367,44387.704942105,169140.2,0.044387704942105005
TAO,2022-10-02,0.26327367,0.2688,0.2606,0.267,44771.148125986,169003.1,0.044771148125986
TAO,2022-10-03,0.267,0.276,0.2654,0.2758,44658.444545531,165430.9,0.044658444545531
TAO,2022-10-04,0.2758,0.2994,0.2707,0.2994,45779.072222791,163467.7,0.045779072222791
TAO,2022-10-05,0.2994,0.3003,0.2739,0.297,46243.253941056,160178.4,0.046243253941055995
TAO,2022-10-06,0.297,0.3,0.2847,0.297,46812.10232,158957.1,0.04681210232
TAO,2022-10-07,0.297,0.3046,0.2968,0.3,45867.715361888,153464.9,0.045867715361887995
TAO,2022-10-08,0.3,0.3018,0.2934,0.2985,45921.11782,153179.0,0.04592111782
TAO,2022-10-09,0.2985,0.3013,0.2848,0.29807019,45905.451850662,153812.7,0.045905451850662
TAO,2022-10-10,0.29807019,0.3018,0.297,0.2988,44760.129654877,149693.3,0.044760129654876996
TAO,2022-10-11,0.2988,0.3,0.2977,0.29997,28230.239155332,94604.9,0.028230239155332
TAO,2022-10-12,0.29997,0.29997,0.2912,0.2922,38958.683883851,133183.4,0.038958683883851
TAO,2022-10-13,0.2922,0.3,0.28607139,0.2947,47586.410372177,161088.2,0.047586410372177
TAO,2022-10-14,0.2947,0.3,0.2866,0.2927,43761.775458382,149478.8,0.043761775458382
TAO,2022-10-15,0.2927,0.3172,0.2914,0.31526847,44153.483209134,145921.5,0.044153483209134
TAO,2022-10-16,0.31526847,0.31546845,0.30666933,0.3074,43439.621568569,139714.8,0.043439621568568995
TAO,2022-10-17,0.3074,0.3082,0.3008,0.3011,42888.512341709,141258.7,0.042888512341709
TAO,2022-10-18,0.3011,0.3021,0.3008,0.3015,45670.86944367,151567.2,0.04567086944367
TAO,2022-10-19,0.3015,0.3094,0.30076992,0.3077,46408.023958995,152148.9,0.046408023958995
TAO,2022-10-20,0.3077,0.3096,0.3008,0.3044,44740.352920509,145976.2,0.044740352920509
TAO,2022-10-21,0.3044,0.3986,0.3042,0.3832,50643.108088171,147877.0,0.050643108088171
TAO,2022-10-22,0.3832,0.391,0.3679,0.3795,47497.443404986,125731.2,0.047497443404985996
TAO,2022-10-23,0.3795,0.4114,0.3794,0.4107,46455.003506499,119197.0,0.046455003506499004
TAO,2022-10-24,0.4107,0.5166,0.4065,0.4635,54121.355469339,121234.2,0.054121355469339
TAO,2022-10-25,0.4635,0.4741,0.3732,0.3852,35665.602355035,80598.5,0.035665602355035
TAO,2022-10-26,0.3852,0.4324,0.3852,0.4171,45313.32307,107353.1,0.04531332307
TAO,2022-10-27,0.4171,0.4227,0.4023,0.4192,47313.53212,113631.0,0.04731353212
TAO,2022-10-28,0.4192,0.4348,0.4189,0.4333,48679.52587,114117.9,0.04867952587
TAO,2022-10-29,0.4333,0.4347,0.4101,0.411,48172.0892,113936.6,0.048172089200000004
TAO,2022-10-30,0.411,0.4205,0.4022,0.4199,29717.21722,71612.1,0.029717217219999998
TAO,2022-10-31,0.4199,0.4237,0.39386061,0.4002,48503.391025766,117913.0,0.048503391025766
TAO,2022-11-01,0.4002,0.41535846,0.3959,0.40085991,47567.942644625,118143.4,0.047567942644625
TAO,2022-11-02,0.40085991,0.415,0.39282142,0.4056,47985.591612833,118759.6,0.047985591612833
TAO,2022-11-03,0.4056,0.4058,0.3949605,0.4024,46708.076750875,116183.5,0.046708076750875
TAO,2022-11-04,0.4024,0.4027,0.3582,0.36,30322.456654561,77720.1,0.030322456654561
TAO,2022-11-05,0.36,0.36,0.3165,0.3185,32393.52116,100512.7,0.03239352116
TAO,2022-11-06,0.3185,0.3185,0.2004,0.2013,53211.95693,221052.4,0.05321195693
TAO,2022-11-07,0.2013,0.2332,0.1611,0.1879,49425.607444256,274604.9,0.049425607444255996
TAO,2022-11-08,0.1879,0.1879,0.1097096,0.1144143,45699.20324972,329283.0,0.045699203249719995
TAO,2022-11-09,0.1144143,0.1166165,0.09009,0.0924846,46708.804350611,443353.9,0.046708804350611
TAO,2022-11-10,0.0924846,0.10777052,0.0922922,0.10696416,45381.62722584,452858.5,0.04538162722584
TAO,2022-11-11,0.10696416,0.11890944,0.1053888,0.10729575,49138.919990094,445828.1,0.049138919990094
TAO,2022-11-12,0.10729575,0.11253095,0.10689651,0.111832,47228.993904644,424884.3,0.047228993904643995
TAO,2022-11-13,0.111832,0.14051709,0.11173215,0.11824608,50355.222839447,415041.6,0.050355222839447
TAO,2022-11-14,0.11824608,0.1188334,0.10854782,0.10858043,28313.310583199,250257.5,0.028313310583199
TAO,2022-11-15,0.10858043,0.11660664,0.10855869,0.11600712,47548.260941859,425195.1,0.047548260941859
TAO,2022-11-16,0.11600712,0.11661831,0.1141857,0.11510784,46665.464954671,403063.2,0.046665464954671
TAO,2022-11-17,0.11510784,0.11584205,0.10863478,0.1094124,44928.48784018,393804.1,0.04492848784018
TAO,2022-11-18,0.1094124,0.11379749,0.10608318,0.10755999,43686.794146067,399676.5,0.043686794146067
TAO,2022-11-19,0.10755999,0.1085913,0.1052946,0.1056942,42719.134970517,399495.8,0.042719134970517
TAO,2022-11-20,0.1056942,0.10917977,0.09967026,0.10046922,44716.385519306,419949.8,0.044716385519306
TAO,2022-11-21,0.10046922,0.10538395,0.09924096,0.10477412,40710.851112944,396801.1,0.040710851112944
TAO,2022-11-22,0.10477412,0.10777052,0.10376493,0.10417484,42747.207253428,402866.7,0.042747207253428
