symbol,date,open,high,low,close,usd_volume,crypto_volume,usd_volume_mil
WBT,2022-09-22,3.6017,4.0801,3.5428,3.8434,962191.070136,249150.939755682,0.962191070136
WBT,2022-09-23,3.8434,4.114,3.8371,3.9422,888628.774208641,225780.796856266,0.8886287742086411
WBT,2022-09-24,3.9422,3.945,3.81671829,3.82871709,661984.393700105,170431.824780736,0.661984393700105
WBT,2022-09-25,3.82871709,3.8436156,3.62057574,3.63297326,588786.30540573,156816.186719959,0.5887863054057301
WBT,2022-09-26,3.63297326,3.961,3.5956404,3.7329,984934.817019399,264836.909009071,0.984934817019399
WBT,2022-09-27,3.7329,4.1028,3.7233,4.04899506,1536018.55578789,387739.057052088,1.53601855578789
WBT,2022-09-28,4.04899506,5.94260568,3.9699,5.85591435,3368988.13238714,775698.222211201,3.36898813238714
WBT,2022-09-29,5.85591435,6.0163,5.7734226,5.8924,3201152.17040295,544193.604891725,3.20115217040295
WBT,2022-09-30,5.8924,13.4102,5.8361,10.3943,8806214.35128786,1111309.0220016,8.80621435128786
WBT,2022-10-01,10.3943,10.8692,10.3003,10.75752414,6608986.57561476,625436.979078605,6.60898657561476
WBT,2022-10-02,10.75752414,11.1718,10.56344355,11.1718,4245763.90096703,393013.197977928,4.24576390096703
WBT,2022-10-03,11.1718,11.6036,11.03809608,11.6036,9806746.87842024,866104.407819571,9.80674687842024
WBT,2022-10-04,11.6036,11.987,11.2533,11.6879,5781328.53611987,495363.100907713,5.78132853611987
WBT,2022-10-05,11.6879,12.1793,11.5649,11.8881,4561673.61322391,377522.586402075,4.561673613223911
WBT,2022-10-06,11.8881,11.9362,11.0085,11.1603,6070679.76518172,524048.931833156,6.07067976518172
WBT,2022-10-07,11.1603,11.172,11.013,11.0512,5676721.80584162,511855.743059955,5.67672180584162
WBT,2022-10-08,11.0512,11.0969,10.8868,11.0306,4683898.01211154,424508.398142408,4.68389801211154
WBT,2022-10-09,11.0306,11.1267,10.8995,11.0928906,6011874.63350715,543757.180468157,6.0118746335071505
WBT,2022-10-10,11.0928906,11.172,11.0443,11.0811,3671407.41389588,330338.917828864,3.6714074138958797
WBT,2022-10-11,11.0811,11.0964,11.05699419,11.08709118,4348373.9122629,392326.971709001,4.3483739122628995
WBT,2022-10-12,11.08709118,11.185,11.05259463,11.1786,5102763.03745736,458951.836091961,5.10276303745736
WBT,2022-10-13,11.1786,11.1787,10.26407349,11.06,5445819.67283674,492635.429362028,5.445819672836739
WBT,2022-10-14,11.06,11.1655,11.0069,11.1653,7398440.90335758,666015.25920213,7.398440903357581
WBT,2022-10-15,11.1653,13.1774,11.1651,13.15078479,9512080.00450396,801737.672925029,9.512080004503959
WBT,2022-10-16,13.15078479,13.874,13.1392,13.688,3584027.99608528,266721.793903092,3.58402799608528
WBT,2022-10-17,13.688,13.78,13.3326,13.4181,9182868.45919346,681995.174606564,9.182868459193461
WBT,2022-10-18,13.4181,13.5615,13.2803,13.2883,11756072.5069449,874802.21183798,11.7560725069449
WBT,2022-10-19,13.2883,13.4429,13.28587128,13.4405,10831053.6351892,809949.609000725,10.8310536351892
WBT,2022-10-20,13.4405,13.7202,13.377,13.5748,9477986.28731328,698209.458135399,9.47798628731328
WBT,2022-10-21,13.5748,13.6204,12.1551,12.6877,7293139.64712052,554661.122529027,7.29313964712052
WBT,2022-10-22,12.6877,12.7739,12.2497,12.3356,10529744.0770368,837173.473956842,10.5297440770368
WBT,2022-10-23,12.3356,12.336,12.1567,12.1575,9422198.07179266,768274.949426305,9.42219807179266
WBT,2022-10-24,12.1575,12.188,12.1156,12.1782,9233637.47820649,759866.851831584,9.23363747820649
WBT,2022-10-25,12.1782,12.1808,12.11628825,12.14,9050072.7066042,744802.392753466,9.0500727066042
WBT,2022-10-26,12.14,13.3642,12.128,13.351,9236605.11278787,749482.915493877,9.23660511278787
WBT,2022-10-27,13.351,14.5774,13.2798,14.5166,10174082.6014154,725160.383359183,10.1740826014154
WBT,2022-10-28,14.5166,14.5598,14.5024,14.5285,10918358.9323047,751520.03782302,10.9183589323047
WBT,2022-10-29,14.5285,14.541,14.4155,14.4167,9971450.38298076,688254.607792216,9.97145038298076
WBT,2022-10-30,14.4167,14.4871,14.3129,14.372,10291139.4114459,714566.776242272,10.2911394114459
WBT,2022-10-31,14.372,14.5317,12.3787,12.3816,7959037.34774055,573288.326735637,7.95903734774055
WBT,2022-11-01,12.3816,12.3965202,10.63653624,10.6369362,8095819.90338826,678665.252522067,8.09581990338826
WBT,2022-11-02,10.6369362,10.6371,10.1614,10.2291,1894463.4110243,179853.105237489,1.8944634110243
WBT,2022-11-03,10.2291,10.2331,9.6353,9.6664,2147934.82928639,217738.9328271,2.14793482928639
WBT,2022-11-04,9.6664,9.7992,9.1787,9.1801,7949184.9626704,833052.926410979,7.9491849626704
WBT,2022-11-05,9.1801,9.1801,8.615,8.6537,7183053.65136209,792889.997273147,7.183053651362091
WBT,2022-11-06,8.6537,8.8729,8.6031,8.7579,7529881.46240997,861844.697432751,7.52988146240997
WBT,2022-11-07,8.7579,8.7586,8.2763,8.2929,6994325.17786949,823764.628611542,6.994325177869491
WBT,2022-11-08,8.2929,8.2929,6.551545,6.6492426,3409695.50470927,441888.137834325,3.4096955047092696
WBT,2022-11-09,6.6492426,7.2004367,6.2095,6.9763248,4106044.55433358,629628.649719813,4.106044554333581
WBT,2022-11-10,6.9763248,7.0508368,6.587997,6.69184548,4524894.76001031,672672.304746781,4.52489476001031
WBT,2022-11-11,6.69184548,6.69184548,6.3127492,6.31457946,7198197.51370765,1107363.08771666,7.19819751370765
WBT,2022-11-12,6.31457946,6.31521212,6.1211904,6.1218035,7782722.32846787,1246560.95938957,7.78272232846787
WBT,2022-11-13,6.1218035,6.12581184,5.37136954,5.49504714,2941260.80046367,502321.114933595,2.9412608004636698
WBT,2022-11-14,5.49504714,5.51631945,5.42939904,5.46717948,4370569.1792227,796600.981640532,4.3705691792227
WBT,2022-11-15,5.46717948,5.49589976,5.4658851,5.47481664,7366378.38411463,1345035.43400882,7.36637838411463
WBT,2022-11-16,5.47481664,5.4751164,5.39528032,5.4016752,7204016.4344697,1319629.08187089,7.2040164344696995
WBT,2022-11-17,5.4016752,5.46107457,5.39973586,5.41336584,7276567.37485884,1344482.46219468,7.27656737485884
WBT,2022-11-18,5.41336584,5.41370775,5.33848612,5.33848612,6784043.81981804,1259094.80861625,6.784043819818041
WBT,2022-11-19,5.33848612,5.33902061,5.30731911,5.3134812,568296.513658041,106772.345998303,0.568296513658041
WBT,2022-11-20,5.3134812,5.3300962,5.21848388,5.22799476,3141238.65358795,593181.469217155,3.14123865358795
WBT,2022-11-21,5.22799476,5.22799476,4.98669388257411,4.98669388257411,1990613.64824456,391376.777800063,1.99061364824456
WBT,2022-11-22,4.98669388257411,5.01357174300526,4.91949041446709,4.93380900655214,3585526.57283748,723846.206861095,3.58552657283748
WBT,2022-11-23,4.93380900655214,4.95687562085589,4.90219800610551,4.91592945844137,10882474.6516918,2209853.42840456,10.8824746516918
WBT,2022-11-24,4.91592945844137,4.94705771871786,4.9148191351713,4.93260196609824,9688953.09785757,1969136.2716572,9.68895309785757
WBT,2022-11-25,4.93260196609824,4.9444452484671,4.90971229960697,4.9340935936649,10031881.0722492,2039071.39832464,10.0318810722492
WBT,2022-11-26,4.9340935936649,4.9439386953672,4.91227225266784,4.92384219331269,11201422.9611864,2274488.60836276,11.201422961186399
WBT,2022-11-27,4.92384219331269,4.95053146066232,4.91618411547031,4.94051185185634,10617225.3624063,2149595.16386831,10.6172253624063
WBT,2022-11-28,4.94051185185634,4.94352885879546,4.89437508026293,4.89592329353761,10358135.1770582,2108071.63706216,10.3581351770582
WBT,2022-11-29,4.89592329353761,4.90346714875678,4.84677041629845,4.85152155719136,10538833.0815618,2156770.12402099,10.5388330815618
WBT,2022-11-30,4.85152155719136,4.87532929556575,4.84445580834593,4.86341675430989,10219119.344206,2101498.98574581,10.219119344206
WBT,2022-12-01,4.86341675430989,4.863984642519,4.85130819466624,4.85340587211752,9748308.03633861,2006553.79634689,9.74830803633861
WBT,2022-12-02,4.85340587211752,4.85662045829086,4.84810115066363,4.85250183932132,9940396.13488004,2048770.58850069,9.94039613488004
WBT,2022-12-03,4.85250183932132,4.85264354954629,4.83723235291415,4.84406541963833,10193062.6555628,2102898.65492647,10.1930626555628
WBT,2022-12-04,4.84406541963833,4.86456385648583,4.8290777757131,4.83960580425435,4172859.10508253,862458.6456,4.17285910508253
WBT,2022-12-05,4.83960580425435,4.8580323366222,4.82960062765156,4.83293895362888,6291573.32444865,1299214.1531,6.29157332444865
WBT,2022-12-06,4.83293895362888,4.83679061183108,4.80865241171562,4.81594123703811,5780705.33648184,1197784.16451567,5.78070533648184
WBT,2022-12-07,4.81594123703811,4.8172973752799,4.79374072060318,4.79552844908767,6396706.38568371,1330734.77123616,6.39670638568371
WBT,2022-12-08,4.79552844908767,4.80185391081328,4.77138129372747,4.7738010952475,5842358.53643506,1220833.52390222,5.84235853643506
WBT,2022-12-09,4.7738010952475,4.7981155083293,4.75508324045849,4.77471567698666,2818264.37006704,588694.798128277,2.81826437006704
WBT,2022-12-10,4.77471567698666,4.79363625958197,4.71336383084016,4.74942182346558,2913401.90634649,612969.122434971,2.91340190634649
WBT,2022-12-11,4.74942182346558,4.77671024052109,4.71105414208927,4.73287588920292,3075145.42505434,648741.764079722,3.07514542505434
WBT,2022-12-12,4.73287588920292,4.73525610890966,4.5212736055379,4.59883933688066,6723150.96865987,1432079.81006432,6.72315096865987
WBT,2022-12-13,4.59883933688066,4.99462051354557,4.18976559765368,4.77157661800998,7760632.02340441,1721450.39857759,7.76063202340441
WBT,2022-12-14,4.77157661800998,4.8584709451778,4.62327680712688,4.80040954527845,6124883.01385327,1286048.16194532,6.124883013853269
WBT,2022-12-15,4.80040954527845,4.82223998451803,4.64012514874652,4.69526867436337,4861529.23264928,1020393.84398695,4.861529232649279
WBT,2022-12-16,4.69526867436337,4.73633582953198,4.58149816655357,4.59160755583718,4595643.55028817,989103.063,4.59564355028817
WBT,2022-12-17,4.59160755583718,4.61586671210443,4.3947737248816,4.43740045114075,4772060.62231833,1051282.15791697,4.77206062231833
WBT,2022-12-18,4.43740045114075,4.62093823582186,4.42581430163312,4.60264432580602,4247096.15066717,940647.615263771,4.24709615066717
WBT,2022-12-19,4.60264432580602,4.62479453614948,4.3602297581663,4.40378334807873,2846429.11745792,631437.83440666,2.8464291174579204
